YEA	MON	DAY	PRO	NUM	COU	H	MN	SEC	TZ	LAT	LON	COD	CITY		

1890	5	22	C	381	I	5	10	4	-1	45N30	9E15	MI	MILANO
1890	5	28	C	458	I	2	10	4	-1	45N 0	9E45	PC	ZIANO PIACENTIN
1890	7	20	C	1739	F	1	20	4	0	48N47	2E29	94	ST-MANDE
1890	7	21	C	300	I	18	40	4	-1	45N 0	8E 0	TO	TORINO
1890	7	22	C	1311	F	1	50	4	0	48N47	2E29	94	IVRY-S/SEINE
1890	7	25	C	2087	F	22	51	28	0	48N50	2E 8	78	LE VESINET
1890	8	7	C	170	F	18	40	40	0	45N46	4E50	69	BEAUJEU
1890	8	10	C	562	F	16	50	0	0	48N55	2E30	93	PANTIN
1890	8	24	C	164	F	21	42	32	0	48N57	4E22	51	EPERNAY
1890	8	26	C	442	I	19	40	4	-1	43N 0	13E 0	PG	PERUGIA
1890	9	15	C	1344	F	10	50	40	0	48N50	2E20	75	PARIS 11E
1890	9	22	C	252	I	19	10	4	-1	45N30	9E15	MI	VIAREGGIO
1890	9	30	C	2057	F	16	50	40	0	48N50	2E20	75	PARIS
1890	10	8	C	173	F	16	5	40	0	46N40	1W25	85	MOUCHAMPS
1890	12	12	C	1368	F	4	51	16	0	48N50	2E11	92	BOULOGNE-BILLANC
1890	12	12	C	1992	F	13	1	28	0	43N18	0W22	64	ST-JEAN-DE-LUZ
1890	12	20	C	501	I	20	10	4	-1	44N42	12E30	FE	FERRARA
1890	12	27	C	1123	B	10	38	0	0	50N39	5E30	LIE	CEREXHE-HEUSEUX
1891	1	2	C	161	F	12	50	0	0	48N55	2E30	93	MONTREUIL-S/B
1891	1	12	C	453	I	19	10	4	-1	40N48	8E30	SS	POZZOMAGGIORE
1891	1	24	C	270	I	11	10	4	-1	45N30	9E15	MI	PIOLTELLO
1891	1	29	C	1162	B	15	47	0	0	51N13	3E15	WVL	LICHTERVELDE
1891	1	30	C	459	I	5	40	4	-1	40N30	15E45	PZ	GRUMENTO NOVA
1891	2	1	C	352	I	13	10	4	-1	43N42	11E30	FI	FIRENZE
1891	2	10	C	412	I	8	40	4	-1	44N36	11E15	MO	SASSUOLO
1891	2	25	C	264	I	11	10	4	-1	46N 0	13E30	UD	BUJA
1891	3	3	C	439	I	16	50	4	-1	44N30	11E 0	BO	BOLOGNA
1891	3	11	C	1996	F	3	54	16	0	43N37	1E26	31	TOULOUSE
1891	4	20	C	345	I	16	30	4	-1	45N24	11E 0	VR	LEGNAGO
1891	4	24	C	371	I	3	50	4	-1	44N24	7E15	CN	CASTIGLIONETINE
1891	5	5	C	248	I	15	40	4	-1	45N36	9E45	BG	ALBINO
1891	6	2	C	996	B	22	43	0	0	50N51	4E15	BRA	BRUXELLES
1891	6	6	C	1683	B	5	43	0	0	50N51	4E15	BRA	ST-JOSSE-TEN-NO
1891	6	16	C	1018	B	5	47	0	0	51N13	3E15	WVL	KORTRIJK
1891	7	11	C	187	F	23	20	40	0	49N54	2E18	80	STGERMAINBRES
1891	7	18	C	1237	F	7	50	40	0	44N50	0W34	33	BORDEAUX
1891	7	20	C	475	I	15	30	4	-1	45N30	9E15	MI	MILANO
1891	7	21	C	1938	F	13	50	40	0	44N12	0E38	47	AGEN
1891	9	4	C	286	I	3	20	4	-1	45N 0	8E 0	TO	CORIO
1891	9	30	C	216	F	11	20	40	0	49N54	2E18	80	MEAULTE
1891	9	30	C	365	I	7	33	4	-1	42N18	14E15	CH	VASTO
1891	10	8	C	456	I	9	20	4	-1	45N12	9E 0	PV	PAVIA
1891	11	7	C	464	I	11	10	4	-1	43N 0	13E 0	PG	CITTA DI CASTEL
1891	11	28	C	160	F	2	20	40	0	47N15	6E 2	25	MONTBELIARD
1891	12	14	C	792	F	14	50	40	0	49N 7	1W 5	50	ST-VAAST-LA-HOU
1892	1	5	C	232	F	14	20	40	0	46N40	5E33	39	DOLE
1892	1	17	C	413	I	15	10	4	-1	41N54	12E30	RM	ROMA
1892	1	20	C	346	I	8	10	4	-1	45N30	11E 0	BS	BRESCIA
1892	2	6	C	378	I	20	15	4	-1	45N30	9E15	MI	MILANO
1892	2	8	C	142	F	16	50	40	0	48N31	2W45	22	PIERIN
1892	3	9	C	214	F	20	20	40	0	43N40	0E36	32	AUCH
